gender,belongatcc,soc,firstgen,raceclass,factsocial,factoutdoor,factacademic,factcounter,yearcat,female,newracec
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.8333333,2.3333333,2.8,2.75,freshman,male,multi
1,3,soc,first gen-- neither parent has four year degree,FGSoC,2,1,3.2,3,sophomore,female,multi
1,4,white,first gen-- neither parent has four year degree,FGW,3.8333333,3.3333333,4,4,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3.5,3,3,freshman,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3,3.2,3.25,junior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,2.3333333,3.2,2.5,sophomore,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,4,2.3333333,4,4,sophomore,female,white
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,3.1666667,3,3,3,sophomore,female,asian
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.5,3.6666667,3,3.25,sophomore,female,white
,,,,,,,,,,,
1,2,soc,first gen-- neither parent has four year degree,FGSoC,3,2.3333333,2.2,2.25,junior,female,multi
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2.6666667,3,2.75,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3,3,3,2.75,junior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.6666667,2.6666667,3,3,freshman,female,other
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.6666667,1.6666666,3,3.25,senior,female,black
,,,,,,,,,,,
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.1666667,3.3333333,3,2.5,freshman,female,white
,,,,,,,,,,,
,,,,,,,,,,,
0,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,male,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3,1,3,2.25,senior,male,white
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2,2.2,2.5,sophomore,female,multi
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.1666667,1.6666666,3.2,2,senior,female,white
0,2,white,not first gen-- one or both parents with four year degree,NFGW,1.6666666,1.6666666,3.2,1.6666666,senior,male,white
0,3,white,not first gen-- one or both parents with four year degree,NFGW,3,3,2.8,3,senior,male,white
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,female,hispanic
0,3,white,not first gen-- one or both parents with four year degree,NFGW,2.5,2.3333333,2.5999999,2,junior,male,white
1,3,soc,first gen-- neither parent has four year degree,FGSoC,2.8333333,2.3333333,2.5999999,2.25,sophomore,female,multi
0,,,not first gen-- one or both parents with four year degree,,2.4000001,2.6666667,3.2,,freshman,male,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
1,2,soc,first gen-- neither parent has four year degree,FGSoC,1.6666666,1,3.5999999,2.5,freshman,female,black
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,2.75,2.3333333,2.4000001,,senior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
0,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,male,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
0,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,junior,male,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,senior,female,asian
