community,geoid,population,longitude,latitude,pm25,neisafe,collgrad,coi_ed,coi_he,edi,hi,mhi,povrate,forborn,cancermort,hrtdismort,covid_deathrate,infmort,lifeExp,adultasthma
West Lawn,65,33543,-87.726927,41.769774,9.647724203,72.2,12.71851572,4.207250291,2.789424116,0.795951373,79.6748823,58633.41759,17.13095567,33.72687241,177.7,197.3,166.2,9.5,78.90552138,9.1
Chicago Lawn,66,55789,-87.695667,41.771849,9.588683925,62.2,8.336512686,4.645607138,3.874322504,0.764470214,91.76432954,39643.03373,22.8971793,25.08705562,203.3,213.7,202.5,8,73.52538107,13.6
West Englewood,67,29899,-87.666598,41.775926,9.530789867,52,10.71077491,4.172883219,4.54648935,0.723645088,95.34367954,30204.38365,32.28086077,5.147430188,243.9,256.6,311.2,12,71.84962002,13.4
Englewood,68,24322,-87.642502,41.777201,9.480166496,55.3,8.873569043,4.893888688,4.945618881,0.690056542,94.97714468,24775.64948,40.85606872,3.357392777,210.3,273.6,200.7,17.4,71.06905129,15.8
Greater Grand Crossing,69,31543,-87.616139,41.763251,9.430747893,57.5,18.8799638,3.798033488,4.271025814,0.751426864,89.42094711,34324.23743,33.41083386,1.264807855,219,269.3,189.1,13,71.65032913,17.5
Lincoln Park,7,63433,-87.649491,41.922696,9.251539418,86.3,85.55282124,1.000127693,1.206788008,0.327730142,1.611113233,147366.4691,8.863711429,13.25661768,156.7,147.8,126.7,4.1,80.68905687,8.2
Ashburn,70,41280,-87.708363,41.745756,9.602943241,87.2,20.1578105,2.444690278,1.778055068,0.801726693,71.31324094,76315.20774,13.54200826,17.10511254,221.4,210.9,205.3,4.6,76.14440596,4.9
Auburn Gresham,71,44959,-87.656305,41.744203,9.514295518,57.9,15.8562348,4.181489967,3.80875829,0.787598857,83.6347296,40142.85806,25.01200878,2.868772752,217.5,246.7,180.8,12.2,71.0516602,11.3
Beverly,72,19950,-87.675072,41.713148,9.532579119,89.7,57.02102781,1.19763892,1.160783728,0.579539509,14.1532192,117654.8214,6.271148334,3.694780538,178.4,185.7,96,2.8,79.48794666,6.6
Washington Heights,73,25075,-87.648897,41.717495,9.4964258,66,25.92686821,3.363112687,3.218042106,0.791393503,77.02780509,61687.491,20.18031554,0.805179192,201.6,228.1,220.6,13.8,72.78146855,7.8
Mount Greenwood,74,18633,-87.713189,41.694876,9.574997619,96.3,39.87958181,1,1.164167239,0.589220472,19.40817104,104686.5121,4.597292068,3.713893227,194.4,253.8,114.6,3.4,78.24661685,
Morgan Park,75,21714,-87.669062,41.689729,9.513222777,83.6,38.55506866,1.50418053,2.65068961,0.722922365,53.12025138,68657.87431,11.58290664,3.684761159,198.4,250,221.3,10.2,75.01295386,5.5
O'Hare,76,14416,-87.893699,41.975696,9.576425952,88.8,40.52956293,2.767770061,3.051525848,0.788844822,58.9188695,63095.79274,10.84929989,55.60482937,180.8,159.2,67.6,2.6,81.43952442,
Edgewater,77,47343,-87.663419,41.986719,9.056449405,92.4,58.38677751,2.113247779,2.657812633,0.672793561,26.8035636,68731.60863,14.86230358,26.66938346,158.7,199.1,137,4.7,81.4153807,6.8
Near North Side,8,95467,-87.633318,41.899611,9.292109191,85.8,82.44000922,1.000968677,1.312018598,0.325930514,3.9200019,114096.8159,9.757465962,16.22443279,143.7,131.6,48.2,6.8,82.1246585,2.5
Edison Park,9,11521,-87.81378,42.007627,9.354181208,100,49.52527504,1.311767273,1.000137992,0.440766226,6.406122008,118472.0422,3.264055001,9.002399085,117.1,177.7,,3,82.6371386,
