OID_,OBJECTID_1,GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OBJECTID,CBSA10_1,METRO_NAME,HRS2010,RHRS10,Shape_Leng,EQINTERV10,fips,pmin,fips_1,lifeExp,OID_1,FIPS_12,POPTOT,WHITENH,BLACKNH,AIANNH,ASIANNH,NHPINH,OTHERNH,TWOMORENH,LATINX,PWHITENH,PBLACKNH,PAIANNH,PASIANNH,PNHPINH,POTHERNH,PTWOMORENH,PLATINX,MHI,POVSTAT,POVBELOW,PPOV,eqint,Grade,Shape_Length,Shape_Area
1118,2080,06037670003,Census Tract 6700.03,1493423.000000000000000,0.000000000000000,+33.7964591,-118.3227742,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.054993652657800,4,6037670003.000000000000000,56.000000000000000,,78.900000000000006,,,5732,2522,104,0,942,0,27,104,2033,44.0000000,1.8099999,0.0000000,16.4300003,0.0000000,0.4700000,1.8099999,35.4700012,80272,5700,331,5.8099999,4,D,0.054993652657775,0.000145394266424
1119,2081,06037461200,Census Tract 4612,2457593.000000000000000,0.000000000000000,+34.1809681,-118.1154324,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.511672000000000,1.500000000000000,0.088469537184200,1,6037461200.000000000000000,34.229999999999997,,82.000000000000000,,,4578,3011,416,8,195,0,10,134,804,65.7699966,9.0900002,0.1700000,4.2600002,0.0000000,0.2200000,2.9300001,17.5599995,137670,4571,239,5.2300000,1,A,0.088469537184178,0.000240326614278
1120,2082,06037460502,Census Tract 4605.02,2614184.000000000000000,0.000000000000000,+34.2062405,-118.1950103,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.000000000000000,2.000000000000000,0.093673151007400,2,6037460502.000000000000000,53.450000000000003,,81.900000000000006,,,4406,2051,2,0,1622,0,24,122,585,46.5499992,0.0500000,0.0000000,36.8100014,0.0000000,0.5400000,2.7700000,13.2799997,146297,4393,90,2.0500000,2,B,0.093673151007358,0.000255714537270
1121,2083,06037461300,Census Tract 4613,1949012.000000000000000,1061.000000000000000,+34.1740052,-118.1117330,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.683864000000000,1.700000000000000,0.092799781278800,1,6037461300.000000000000000,39.310000000000002,,81.799999999999997,,,7055,4282,304,0,730,3,109,293,1334,60.6899986,4.3099999,0.0000000,10.3500004,0.0400000,1.5500000,4.1500001,18.9099998,79479,6913,681,9.8500004,1,A,0.092799781278785,0.000190680652522
1122,2084,06037461000,Census Tract 4610,1832743.000000000000000,188.000000000000000,+34.1870169,-118.1608413,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.888322000000000,2.900000000000000,0.078325789091500,3,6037461000.000000000000000,91.159999999999997,,79.500000000000000,,,6416,567,1990,0,348,0,0,92,3419,8.8400002,31.0200005,0.0000000,5.4200001,0.0000000,0.0000000,1.4299999,53.2900009,58866,6347,750,11.8199997,3,C,0.078325789091545,0.000179252741506
1123,2085,06037463300,Census Tract 4633,660679.000000000000000,0.000000000000000,+34.1392184,-118.1025170,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.759553000000000,1.800000000000000,0.043893454819700,2,6037463300.000000000000000,51.549999999999997,,84.599999999999994,,,1932,936,114,0,470,0,13,32,367,48.4500008,5.9000001,0.0000000,24.3299999,0.0000000,0.6700000,1.6600000,19.0000000,94050,1932,147,7.6100001,2,B,0.043893454819670,0.000064575964775
1124,2086,06037535101,Census Tract 5351.01,1133928.000000000000000,0.000000000000000,+33.9644276,-118.2488118,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.051181037867600,4,6037535101.000000000000000,99.719999999999999,,79.400000000000006,,,7773,22,684,0,4,0,75,20,6968,0.2800000,8.8000002,0.0000000,0.0500000,0.0000000,0.9600000,0.2600000,89.6399994,37994,7744,2977,38.4399986,4,D,0.051181037867605,0.000110608500898
1125,2087,06037532302,Census Tract 5323.02,3299179.000000000000000,441.000000000000000,+34.0096885,-118.1751711,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.894719000000000,2.900000000000000,0.097581623132400,3,6037532302.000000000000000,99.319999999999993,,81.200000000000003,,,4819,33,31,0,10,0,0,12,4733,0.6800000,0.6400000,0.0000000,0.2100000,0.0000000,0.0000000,0.2500000,98.2200012,48409,4690,858,18.2900009,3,C,0.097581623132411,0.000322027179446
1126,2088,06037432901,Census Tract 4329.01,1134677.000000000000000,0.000000000000000,+34.0766629,-118.0708582,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.043264738864100,3,6037432901.000000000000000,96.319999999999993,,80.500000000000000,,,3938,145,17,9,2639,0,0,46,1082,3.6800001,0.4300000,0.2300000,67.0100021,0.0000000,0.0000000,1.1700000,27.4799995,56250,3938,495,12.5699997,3,C,0.043264738864140,0.000110825191663
1127,2089,06037540102,Census Tract 5401.02,1250610.000000000000000,0.000000000000000,+33.9231953,-118.1941847,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.047104161965200,3,6037540102.000000000000000,97.859999999999999,,77.400000000000006,,,6818,146,919,76,0,25,0,0,5652,2.1400001,13.4799995,1.1100000,0.0000000,0.3700000,0.0000000,0.0000000,82.9000015,58237,6818,1179,17.2900009,3,C,0.047104161965190,0.000121931999096
